Designator,MPN/Seeed SKU,Qty,Link
"C1,C2,C3,C4,C5",GCM188R71E105KA64D,5,
"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C6,C7,C8,C9",GRM188R71H104KA93D,17,
"D1,D2",NUP2301MW6T1G,2,
"D3,D4","PMEG6010CEH,115",2,
IC1,L78M05CDT-TR,1,
"IC10,IC11",LMV324IYPT,2,
"IC12,IC7",TCA9535PWR,2,
IC2,SN65HVD1050DR,1,
IC3,TLV70233DBVR,1,
"IC4,IC6",ACS70331EESATR-005B3,2,
IC5,STM32F042F6P6,1,
"IC8,IC9",MCP4728A0T-E/UN,2,
"R1,R15,R16,R2,R4,R5,R8,R9",ERJ-3GEYJ102V,8,
"R10,R11,R13,R14,R17,R18,R20,R22,R23,R3,R6,R7",ERJ-3EKF1002V,12,
R12,RC1206JR-07120RL,1,
"R19,R21",RK73H1JTTD4701F,2,
T1,ULN2803ADWRG4,1,
Z1,"PESD2CAN,215",1,
