Units:          mil (precision 0),,,,
,,,,
Name,Side,Centre X,Centre Y,Rotation
IC4,Top,-455,-915,90
IC6,Top,445,-915,90
C1,Top,-1720,-1080,90
C2,Top,-1480,-670,90
C3,Top,-1550,-1080,90
C4,Top,-1125,-320,270
C5,Top,-1135,-600,270
C6,Bottom,-900,1120,90
C7,Top,-1055,-740,90
C8,Top,-920,-535,90
C9,Top,-835,-740,90
C10,Top,-598,-763,0
C11,Top,-200,-145,180
C12,Top,-160,490,270
C13,Top,-165,-740,90
C14,Top,15,-525,90
C15,Top,50,-740,90
C16,Top,310,-765,0
C17,Top,775,-850,180
C18,Top,1205,1490,0
C19,Top,1210,860,0
C20,Top,1415,1490,0
C21,Top,1410,885,0
C22,Top,910,-295,180
IC1,Top,-1610,-860,180
IC10,Top,1420,1250,270
IC11,Top,1415,645,270
IC2,Bottom,-900,1280,0
IC8,Top,1130,1250,270
IC9,Top,1135,645,270
D1,Top,-905,-630,180
D2,Top,15,-615,180
Z1,Bottom,-1330,1290,0
D3,Bottom,192,-1290,270
D4,Bottom,-708,-1290,270
R1,Top,-1055,-810,90
R2,Top,-1055,-880,270
R3,Top,-1055,-950,90
R4,Top,-835,-810,90
R5,Top,-835,-880,270
R6,Top,-835,-950,90
R7,Top,-280,-145,0
R8,Top,-165,-810,90
R9,Top,-165,-880,270
R10,Top,-165,-950,90
R11,Bottom,-900,1450,90
R12,Bottom,-1160,1290,0
R13,Top,-31,520,180
R14,Top,65,525,180
R15,Top,50,-810,90
R16,Top,50,-880,270
R17,Top,50,-950,90
R18,Top,925,1390,90
R19,Top,1020,1490,180
R20,Top,960,855,0
R21,Top,1105,1490,180
R22,Top,-500,1445,270
R23,Top,-500,1540,270
IC5,Top,-165,205,90
IC7,Top,966,-851,0
IC12,Top,1141,-351,0
IC3,Top,-1120,-460,90
T1,Top,980,-1350,270
